errorCode,errorMessage
20,"The time is not a valid input. Ensure to enter in the format 00:00:000."
21,"The date is not a valid input. Ensure to enter in the format dd/mm/yyyy."
22,"There is no more space in the database to upload runs. Please delete some runs from the database in order to make space."
